zdroj_id,nazev,mnozstvi
727070261,těkavé organické látky (VOC),0.136
310069122,organické látky vyjádřené jako TOC,0.379
310069122,těkavé organické látky (VOC),0.474
728220403,oxidy dusíku,0.199
728220403,oxid uhelnatý,0.001
728220403,těkavé organické látky (VOC),1.797
755540503,těkavé organické látky (VOC),1.679
755540513,oxidy dusíku,0.119
755540513,oxid uhelnatý,0.005
310011802,oxidy dusíku,0.107
310011802,oxid uhelnatý,0.005
310010992,oxidy dusíku,0.079
310010992,oxid uhelnatý,0.04
310070952,tuhé znečišťující látky,0.148
310070952,organické látky vyjádřené jako TOC,0.762
310070952,těkavé organické látky (VOC),3.515
310070952,"zinek a jeho sloučeniny, vyjádřené jako Zn",0.0
310095312,těkavé organické látky (VOC),0.137
730100221,tuhé znečišťující látky,0.013
730100221,oxidy dusíku,0.61
730100221,oxid uhelnatý,0.098
730100593,tuhé znečišťující látky,1.188
728610831,oxidy dusíku,0.009
728610831,oxid uhelnatý,0.001
310052982,oxidy dusíku,0.441
310052982,oxid uhelnatý,0.003
727070281,těkavé organické látky (VOC),0.121
727070913,oxidy dusíku,0.388
727070913,oxid uhelnatý,0.014
727070101,oxidy dusíku,0.344
727070101,oxid uhelnatý,0.077
119813422,oxidy dusíku,0.251
119813422,oxid uhelnatý,0.0
728950471,oxidy dusíku,1.457
728950471,oxid uhelnatý,0.264
310020772,tuhé znečišťující látky,0.036
310020772,oxid siřičitý,2.09
310020772,oxidy dusíku,0.348
310020772,oxid uhelnatý,0.163
729580471,oxidy dusíku,0.025
729580471,oxid uhelnatý,0.006
729580471,těkavé organické látky (VOC),0.919
310097262,oxidy dusíku,0.001
310097262,oxid uhelnatý,0.003
310097262,organické látky vyjádřené jako TOC,0.481
310097262,těkavé organické látky (VOC),0.095
728169111,oxidy dusíku,0.087
728169111,oxid uhelnatý,0.004
729710223,oxidy dusíku,0.41
729710223,oxid uhelnatý,0.16
728640053,oxidy dusíku,0.38
728640053,oxid uhelnatý,0.07
310063702,tuhé znečišťující látky,0.0
310063702,oxid siřičitý,0.0
310063702,oxidy dusíku,0.034
310063702,oxid uhelnatý,0.008
310063702,organické látky vyjádřené jako TOC,0.001
119808432,těkavé organické látky (VOC),0.985
793260083,těkavé organické látky (VOC),0.007
730950363,oxidy dusíku,0.194
730950363,oxid uhelnatý,0.0
731220043,tuhé znečišťující látky,0.064
731220043,oxid siřičitý,0.089
731220043,oxidy dusíku,0.531
731220043,oxid uhelnatý,6.446
731220043,organické látky vyjádřené jako TOC,0.0
728230023,těkavé organické látky (VOC),0.069
729058901,oxidy dusíku,2.585
729058901,oxid uhelnatý,0.67
727410563,těkavé organické látky (VOC),0.23
728430641,oxidy dusíku,0.629
728430641,oxid uhelnatý,0.027
601528861,tuhé znečišťující látky,0.109
119808822,oxidy dusíku,0.076
119808822,oxid uhelnatý,0.003
119808822,těkavé organické látky (VOC),1.081
310070562,oxidy dusíku,0.078
310070562,oxid uhelnatý,0.011
310070562,těkavé organické látky (VOC),0.319
119809642,oxidy dusíku,0.629
119809642,oxid uhelnatý,6.345
119809642,těkavé organické látky (VOC),4.07
119808752,tuhé znečišťující látky,0.0
119808752,těkavé organické látky (VOC),0.181
119808752,chrom (bez šestimocného chromu),0.0
119808752,silné anorganické kyseliny,0.0
310065342,tuhé znečišťující látky,0.04
310065342,oxidy dusíku,0.13
728640871,tuhé znečišťující látky,0.199
728640871,oxidy dusíku,0.111
728640871,oxid uhelnatý,0.019
728640871,organické látky vyjádřené jako TOC,1.483
310066002,tuhé znečišťující látky,0.024
310066002,těkavé organické látky (VOC),2.459
310098092,těkavé organické látky (VOC),1.755
310012412,tuhé znečišťující látky,0.0
730120011,oxidy dusíku,0.287
730120011,oxid uhelnatý,0.004
732450111,tuhé znečišťující látky,0.002
732450111,oxid siřičitý,0.039
732450111,oxidy dusíku,3.816
732450111,oxid uhelnatý,0.578
727750181,tuhé znečišťující látky,0.005
727750181,oxid siřičitý,0.054
727750181,oxidy dusíku,3.084
727750181,oxid uhelnatý,0.225
728314111,oxidy dusíku,0.002
728314111,oxid uhelnatý,0.0
727870051,tuhé znečišťující látky,0.008
727870051,oxid siřičitý,0.004
727870051,oxidy dusíku,0.242
727870051,oxid uhelnatý,0.032
728070581,oxidy dusíku,0.824
728070581,oxid uhelnatý,0.096
732450123,tuhé znečišťující látky,0.005
732450123,oxid siřičitý,0.002
732450123,oxidy dusíku,0.125
732450123,oxid uhelnatý,0.003
119802052,tuhé znečišťující látky,0.0
119802052,oxid siřičitý,0.0
119802052,oxidy dusíku,0.0
119802052,oxid uhelnatý,0.0
119802052,organické látky vyjádřené jako TOC,0.0
119802052,těkavé organické látky (VOC),0.0
119802052,amoniak,0.0
732450771,tuhé znečišťující látky,0.039
732450771,oxid siřičitý,1.859
732450771,oxidy dusíku,166.886
732450771,oxid uhelnatý,13.515
732450771,organické látky vyjádřené jako TOC,1.321
732450771,"antimon a jeho sloučeniny, vyjádřené jako Sb",0.0002
732450771,arsen,0.0004
732450771,chrom (bez šestimocného chromu),0.0077
732450771,"kadmium a jeho sloučeniny, vyjádřené jako Cd",0.0002
732450771,"kobalt a jeho sloučeniny, vyjádřené jako Co",0.0001
732450771,"mangan a jeho sloučeniny, vyjádřené jako Mn",0.0054
732450771,"měď a její sloučeniny, vyjádřené jako Cu",0.0006
732450771,"nikl a jeho sloučeniny, vyjádřené jako Ni",0.004
732450771,"olovo a jeho sloučeniny, vyjádřené jako Pb",0.0006
732450771,"rtuť její sloučeniny, vyjádřené jako Hg",0.004
732450771,"thalium a jeho sloučeniny, vyjádřené jako Tl",0.0001
732450771,"vanad a jeho sloučeniny, vyjádřené jako V",0.0002
732450771,polychlorované dibenzodioxiny a dibenzofurany,1.2e-08
732450771,"fluor a jeho anorg.sloučeniny, vyjádřené jako F",0.964
732450771,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.111
729270341,oxidy dusíku,48.335
729270341,oxid uhelnatý,53.136
310056822,oxidy dusíku,0.131
310056822,oxid uhelnatý,0.046
310056822,organické látky vyjádřené jako TOC,0.0
310056822,formaldehyd,0.0
119807592,těkavé organické látky (VOC),0.343
